dataset,num_blocks,embed_dim,pretrained_source,type,batch_size,update_iters,repeat_idx,data_aug,acc,ece,nll,time_taken
cifar10,6,512,in21k,ibprobit,512,64,62,False,0.8316999673843384,0.059183046221733,0.5882378220558167,5.988921403884888
cifar10,6,512,in21k,ibprobit,512,64,6,False,0.8308999538421631,0.0617939308285713,0.5718802809715271,5.948240518569946
cifar10,6,512,in21k,ibprobit,512,64,21,False,0.8283999562263489,0.0626990795135498,0.5734026432037354,5.981065034866333
cifar10,6,512,in21k,ibprobit,1024,2,88,False,0.8574999570846558,0.1111610680818557,0.6441675424575806,5.575569152832031
cifar10,6,512,in21k,ibprobit,1024,2,73,False,0.8551999926567078,0.1083745583891868,0.6466492414474487,5.664466381072998
cifar10,6,512,in21k,ibprobit,1024,2,90,False,0.8562999963760376,0.1100541427731514,0.6458402872085571,5.626453161239624
cifar10,6,512,in21k,ibprobit,1024,2,93,False,0.8553999662399292,0.1091770678758621,0.6458591818809509,5.548006057739258
cifar10,6,512,in21k,ibprobit,1024,2,87,False,0.8538999557495117,0.1082448586821556,0.647454559803009,5.626007795333862
cifar10,6,512,in21k,ibprobit,1024,2,13,False,0.8543999791145325,0.1078186482191085,0.6477678418159485,5.734157562255859
cifar10,6,512,in21k,ibprobit,1024,2,0,False,0.8547999858856201,0.110090784728527,0.6482139825820923,5.683931827545166
cifar10,6,512,in21k,ibprobit,1024,2,53,False,0.8568999767303467,0.1105832383036613,0.646273672580719,5.776560544967651
cifar10,6,512,in21k,ibprobit,1024,2,18,False,0.8552999496459961,0.1092540472745895,0.6468414664268494,5.550677061080933
cifar10,6,512,in21k,ibprobit,1024,2,20,False,0.8567000031471252,0.1108221262693405,0.6455777883529663,5.611613512039185
cifar10,6,512,in21k,ibprobit,1024,2,16,False,0.8538999557495117,0.1078454554080963,0.6465522050857544,5.733376979827881
cifar10,6,512,in21k,ibprobit,1024,2,76,False,0.8550999760627747,0.109409250319004,0.6467019319534302,5.8159167766571045
cifar10,6,512,in21k,ibprobit,1024,2,25,False,0.8549999594688416,0.1092978119850158,0.6455734968185425,5.61671257019043
cifar10,6,512,in21k,ibprobit,1024,2,32,False,0.8563999533653259,0.1121033281087875,0.6475105285644531,5.7502288818359375
cifar10,6,512,in21k,ibprobit,1024,2,42,False,0.8560999631881714,0.1098010316491127,0.6463665962219238,5.656284332275391
cifar10,6,512,in21k,ibprobit,1024,2,82,False,0.8567000031471252,0.1105415672063827,0.6472575068473816,5.6245198249816895
cifar10,6,512,in21k,ibprobit,1024,2,92,False,0.8551999926567078,0.1093414276838302,0.6467158198356628,5.558371543884277
cifar10,6,512,in21k,ibprobit,1024,2,39,False,0.8540999889373779,0.1072757169604301,0.6466132402420044,5.568964242935181
cifar10,6,512,in21k,ibprobit,1024,2,7,False,0.854699969291687,0.1096982434391975,0.6489881873130798,5.619569778442383
cifar10,6,512,in21k,ibprobit,1024,2,41,False,0.8560999631881714,0.1108763813972473,0.6471718549728394,5.631464958190918
cifar10,6,512,in21k,ibprobit,1024,2,63,False,0.8560000061988831,0.1098644360899925,0.6460707783699036,5.582679033279419
cifar10,6,512,in21k,ibprobit,1024,2,80,False,0.85589998960495,0.1095454916357994,0.6467134952545166,5.672705411911011
cifar10,6,512,in21k,ibprobit,1024,2,62,False,0.8552999496459961,0.1096665114164352,0.6465657949447632,5.577412128448486
cifar10,6,512,in21k,ibprobit,1024,2,6,False,0.8537999987602234,0.1073636636137962,0.6462538838386536,5.639740705490112
cifar10,6,512,in21k,ibprobit,1024,2,21,False,0.8536999821662903,0.1065042242407798,0.6465728282928467,5.712687730789185
cifar10,6,512,in21k,ibprobit,1024,4,88,False,0.8555999994277954,0.0542430654168129,0.556215226650238,5.560493230819702
cifar10,6,512,in21k,ibprobit,1024,4,73,False,0.8542999625205994,0.0532629117369651,0.5572423934936523,5.721337080001831
cifar10,6,512,in21k,ibprobit,1024,4,90,False,0.8521999716758728,0.0517932511866092,0.558711588382721,5.618632316589356
cifar10,6,512,in21k,ibprobit,1024,4,93,False,0.8525999784469604,0.051189761608839,0.5592053532600403,5.701063632965088
cifar10,6,512,in21k,ibprobit,1024,4,87,False,0.8538999557495117,0.0542555823922157,0.5579347610473633,5.534400463104248
cifar10,6,512,in21k,ibprobit,1024,4,13,False,0.8514999747276306,0.0517998337745666,0.559986412525177,5.692872524261475
cifar10,6,512,in21k,ibprobit,1024,4,0,False,0.8529999852180481,0.0510073639452457,0.5554653406143188,5.718652248382568
cifar10,6,512,in21k,ibprobit,1024,4,53,False,0.854200005531311,0.0530070178210735,0.5566157102584839,5.515825033187866
cifar10,6,512,in21k,ibprobit,1024,4,18,False,0.8562999963760376,0.0553011260926723,0.5569912791252136,5.707637071609497
cifar10,6,512,in21k,ibprobit,1024,4,20,False,0.8522999882698059,0.050866961479187,0.5586720705032349,5.608120918273926
cifar10,6,512,in21k,ibprobit,1024,4,16,False,0.8509999513626099,0.0493491366505622,0.5585373640060425,5.685327291488648
cifar10,6,512,in21k,ibprobit,1024,4,76,False,0.8515999913215637,0.0498202629387378,0.5588001012802124,5.59587836265564
cifar10,6,512,in21k,ibprobit,1024,4,25,False,0.8520999550819397,0.0523477829992771,0.5583496689796448,5.612897634506226
cifar10,6,512,in21k,ibprobit,1024,4,32,False,0.8542999625205994,0.054069060832262,0.5588611960411072,5.769209384918213
cifar10,6,512,in21k,ibprobit,1024,4,42,False,0.8519999980926514,0.0503565296530723,0.5600316524505615,5.477322340011597
cifar10,6,512,in21k,ibprobit,1024,4,82,False,0.8521999716758728,0.0534166954457759,0.5596578121185303,5.511600017547607
cifar10,6,512,in21k,ibprobit,1024,4,92,False,0.8537999987602234,0.053063653409481,0.5570134520530701,5.681604862213135
cifar10,6,512,in21k,ibprobit,1024,4,39,False,0.8534999489784241,0.0533935353159904,0.5580428838729858,5.595918893814087
cifar10,6,512,in21k,ibprobit,1024,4,7,False,0.8538999557495117,0.0536907948553562,0.5575225949287415,5.692807912826538
cifar10,6,512,in21k,ibprobit,1024,4,41,False,0.8527999520301819,0.0528812929987907,0.5581076741218567,5.563338994979858
cifar10,6,512,in21k,ibprobit,1024,4,63,False,0.8524999618530273,0.050694603472948,0.5575896501541138,5.615473031997681
cifar10,6,512,in21k,ibprobit,1024,4,80,False,0.8538999557495117,0.0522437319159507,0.5593335628509521,5.717349290847778
cifar10,6,512,in21k,ibprobit,1024,4,62,False,0.8517000079154968,0.0507813654839992,0.5616573095321655,5.695607900619507
cifar10,6,512,in21k,ibprobit,1024,4,6,False,0.8536999821662903,0.0527557097375392,0.5553774237632751,5.733124256134033
cifar10,6,512,in21k,ibprobit,1024,4,21,False,0.8533999919891357,0.0511551573872566,0.5561140775680542,5.754014253616333
cifar10,6,512,in21k,ibprobit,1024,8,88,False,0.848800003528595,0.0131663521751761,0.5132847428321838,5.611834764480591
cifar10,6,512,in21k,ibprobit,1024,8,73,False,0.8453999757766724,0.010033294558525,0.5202500820159912,5.560328006744385
cifar10,6,512,in21k,ibprobit,1024,8,90,False,0.8503999710083008,0.0131615661084651,0.5140061974525452,5.771733522415161
cifar10,6,512,in21k,ibprobit,1024,8,93,False,0.8499999642372131,0.0144797954708337,0.5172804594039917,5.655794382095337
cifar10,6,512,in21k,ibprobit,1024,8,87,False,0.849399983882904,0.0129682654514908,0.5137361884117126,5.583683490753174
cifar10,6,512,in21k,ibprobit,1024,8,13,False,0.8496999740600586,0.0152530940249562,0.5193271636962891,5.668278694152832
cifar10,6,512,in21k,ibprobit,1024,8,0,False,0.8458999991416931,0.0139654101803898,0.5174174904823303,5.583287715911865
cifar10,6,512,in21k,ibprobit,1024,8,53,False,0.8499000072479248,0.0151307117193937,0.5118209719657898,5.607150554656982
cifar10,6,512,in21k,ibprobit,1024,8,18,False,0.8502999544143677,0.0143798235803842,0.5159623622894287,5.636499643325806
cifar10,6,512,in21k,ibprobit,1024,8,20,False,0.8481999635696411,0.0153391156345605,0.5178942084312439,5.7552361488342285
cifar10,6,512,in21k,ibprobit,1024,8,16,False,0.8489999771118164,0.0141749260947108,0.5174636840820312,5.561067342758179
cifar10,6,512,in21k,ibprobit,1024,8,76,False,0.8466999530792236,0.013140077702701,0.5187872052192688,5.770093202590942
cifar10,6,512,in21k,ibprobit,1024,8,25,False,0.8500999808311462,0.0151134803891181,0.5185964703559875,5.713773965835571
cifar10,6,512,in21k,ibprobit,1024,8,32,False,0.8526999950408936,0.0151929035782814,0.5077934861183167,5.611056566238403
cifar10,6,512,in21k,ibprobit,1024,8,42,False,0.8478999733924866,0.0177683103829622,0.5148272514343262,5.75849175453186
cifar10,6,512,in21k,ibprobit,1024,8,82,False,0.8517000079154968,0.0134037192910909,0.5114983320236206,5.688184976577759
cifar10,6,512,in21k,ibprobit,1024,8,92,False,0.8470999598503113,0.0112380599603056,0.514995813369751,5.699153900146484
cifar10,6,512,in21k,ibprobit,1024,8,39,False,0.8452999591827393,0.0089872721582651,0.5163233280181885,5.727672338485718
cifar10,6,512,in21k,ibprobit,1024,8,7,False,0.8490999937057495,0.0152864819392561,0.5191226601600647,5.585265159606934
cifar10,6,512,in21k,ibprobit,1024,8,41,False,0.8489999771118164,0.013161533512175,0.5157844424247742,5.726553201675415
